Species,Genome_UUID,DB_name,Source_name,Source_URL,Description
aegilops_tauschii,750e67f5-4811-441d-be46-a436786dfb27,aegilops_tauschii_core_57_110_3,UCD,https://www.ucdavis.edu/,Imported
arabidopsis_thaliana,c0410902-1007-404d-a8dd-3adee003811e,arabidopsis_thaliana_core_57_110_11,Araport11,https://araport.org,Imported
astyanax_mexicanus,bd3b098e-013e-4687-8d9e-72952032481e,astyanax_mexicanus_core_110_2,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
astyanax_mexicanus_gca019721115v1,dbaa4e2f-81f9-4944-a2bd-c17069b8cf1c,astyanax_mexicanus_gca019721115v1_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
astyanax_mexicanus_gca023375835v1,0b2c7451-e901-45fe-9e97-987b7e617056,astyanax_mexicanus_gca023375835v1_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
astyanax_mexicanus_gca023375845v1,f0a865a1-9e28-4a03-b758-3c9442d5f7af,astyanax_mexicanus_gca023375845v1_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
astyanax_mexicanus_gca023375975v1,eeefd012-fd22-4199-aee7-a45c5ccad6e1,astyanax_mexicanus_gca023375975v1_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
astyanax_mexicanus_pachon,ed3e4a8a-1af8-4e5b-8ba1-b592f9a11fb6,astyanax_mexicanus_pachon_core_110_102,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
Escherichia coli str. K-12 substr. MG1655,a73351f7-93e7-11ec-a39d-005056b38ce3,bacteria_0_collection_core_57_110_1,ENA,https://ebi.ac.uk/ena,Imported
bos_taurus,4106e9ef-1bb1-4ca4-974c-8de8875b8456,bos_taurus_core_110_12,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
brassica_napus,963df045-925b-4839-abb6-ca2bfaf2b047,brassica_napus_core_57_110_1,INRA,https://urgi.versailles.inra.fr/,Imported
brassica_oleracea,51e4f3a0-8e22-436d-ad2f-3fdd2a7e1ad7,brassica_oleracea_core_57_110_1,CanSeq,https://www.cgen.ca/biogenome-project,Imported
brassica_rapa,fbbbfe0b-035d-43e5-b836-0620a9234997,brassica_rapa_core_57_110_1,IVFCAAS,http://www.ivfcaas.ac.cn/en/,Imported
caenorhabditis_elegans,a733550b-93e7-11ec-a39d-005056b38ce3,caenorhabditis_elegans_core_57_110_282,Wormbase,https://wormbase.org/,Imported
canis_lupus_familiaris,a6edaf0c-daed-4f0f-8de3-f732502973b2,canis_lupus_familiaris_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
canis_lupus_familiarisbasenji,96ff1fe8-f8d4-44b2-967b-8f7f91519400,canis_lupus_familiarisbasenji_core_110_11,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
canis_lupus_familiarisboxer,2284d28a-2cf7-41f0-bed6-0982601f7888,canis_lupus_familiarisboxer_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
canis_lupus_familiarisgreatdane,1f22b00a-3fdf-450d-b406-a17759039af6,canis_lupus_familiarisgreatdane_core_110_31,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
canis_lupus_familiarisgsd,0b6aaf51-1909-421a-94b5-7734092f64d1,canis_lupus_familiarisgsd_core_110_10,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
capra_hircus_blackbengal,55d19691-588c-43ea-87f4-e08fa59c026a,capra_hircus_blackbengal_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
capra_hircus,c44a36bc-75f1-43dc-88ea-decc8573a850,capra_hircus_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
cricetulus_griseus_chok1gshd,7cf558a0-f0d5-45ae-b21c-5e98ee6f6cd7,cricetulus_griseus_chok1gshd_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
cricetulus_griseus_crigri,4b3733d3-4ee2-4847-8748-027d485a6296,cricetulus_griseus_crigri_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
cricetulus_griseus_gca003668045v2,55342729-c98a-4c70-a088-76a2048dc39e,cricetulus_griseus_gca003668045v2_core_110_1,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
danio_rerio,b29f62e6-992e-4049-a26b-b6bd673c51e7,danio_rerio_core_110_11,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
drosophila_melanogaster,968e99a2-bb9b-44e9-a4ad-13c7a9672600,drosophila_melanogaster_core_57_110_10,FlyBase,https://flybase.org,Imported
equus_caballus,ca0c4d80-e0e7-4d4b-920f-f88ad90ff753,equus_caballus_core_110_3,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
felis_catus,14fe0744-4b47-4d31-bddf-dc2b6ffc7f4e,felis_catus_core_110_9,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
gallus_gallus,2b8df0a0-7000-495c-a9db-a093740f0264,gallus_gallus_core_110_7,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
gallus_gallus_gca000002315v5,c7d60942-b5b0-49f1-976f-8946cebd9ff1,gallus_gallus_gca000002315v5_core_110_6,Ensembl,https://rapid.ensembl.org/info/genome/genebuild/full_genebuild.html,Annotated
